Grouping,Subset,Property,GroupA,GroupB,nA,nB,MedianA,MedianB,CliffsDelta,DeltaMag,MWU_p,KS_stat,KS_p,MWU_p_BH,KS_p_BH
condition,all,IsoelectricPoint,MagReSyn 0.5% TFA,MagReSyn 10% FA,591,582,10.315,10.315,-0.036,negligible,0.27991913510102295,0.043,0.6288365973366749,0.37322551346803057,0.6658269854153028
condition,all,IsoelectricPoint,MagReSyn 0.5% TFA,MagReSyn 20% FA,591,477,10.315,10.486,-0.091,negligible,0.010223321281394429,0.112,0.002321563259382455,0.021155128718608807,0.00464312651876491
condition,all,IsoelectricPoint,MagReSyn 0.5% TFA,Cytiva 0.5% TFA,591,568,10.315,10.581,-0.11,negligible,0.0012125631600114635,0.093,0.012538057985308649,0.0029101515840275127,0.01880708697796297
condition,all,IsoelectricPoint,MagReSyn 0.5% TFA,Cytiva 2% TFA,591,439,10.315,10.385,-0.001,negligible,0.9758251872473093,0.148,2.622474511925931e-05,0.9758251872473092,8.582643857212138e-05
condition,all,IsoelectricPoint,MagReSyn 0.5% TFA,Cytiva 10% FA,591,544,10.315,10.883,-0.133,negligible,0.00010131194559397493,0.127,0.0002013222612981287,0.00036472300413830977,0.0005057508155388416
condition,all,IsoelectricPoint,MagReSyn 0.5% TFA,Cytiva 20% FA,591,508,10.315,10.883,-0.158,small,5.977955419587913e-06,0.161,1.2279489945681598e-06,3.586773251752748e-05,6.315166257779108e-06
condition,all,IsoelectricPoint,MagReSyn 2% TFA,MagReSyn 10% FA,494,582,10.315,10.315,-0.069,negligible,0.05120402361334555,0.133,0.00014294699422499085,0.08777832619430666,0.00039585321477689776
condition,all,IsoelectricPoint,MagReSyn 2% TFA,MagReSyn 20% FA,494,477,10.315,10.486,-0.121,negligible,0.0010969292607322456,0.103,0.010961303392098767,0.0028206752418829173,0.01715682270067633
condition,all,IsoelectricPoint,MagReSyn 2% TFA,Cytiva 0.5% TFA,494,568,10.315,10.581,-0.15,small,2.2838155345145978e-05,0.164,1.0499791488556338e-06,9.135262138058391e-05,6.299874893133802e-06
condition,all,IsoelectricPoint,MagReSyn 2% TFA,Cytiva 2% TFA,494,439,10.315,10.385,-0.033,negligible,0.3873371742964271,0.05,0.5929347116381714,0.48083235429901294,0.6468378672416415
condition,all,IsoelectricPoint,MagReSyn 2% TFA,Cytiva 10% FA,494,544,10.315,10.883,-0.186,small,2.2062758240621167e-07,0.158,3.8042229205806056e-06,1.985648241655905e-06,1.5216891682322424e-05
condition,all,IsoelectricPoint,MagReSyn 2% TFA,Cytiva 20% FA,494,508,10.315,10.883,-0.216,small,3.4077524140910956e-09,0.169,1.0244844736269634e-06,1.2267908690727944e-07,6.299874893133802e-06
condition,all,IsoelectricPoint,MagReSyn 10% FA,MagReSyn 20% FA,582,477,10.315,10.486,-0.055,negligible,0.12102461335514655,0.087,0.036627270693659994,0.1894298295993598,0.052743269798870396
condition,all,IsoelectricPoint,MagReSyn 10% FA,Cytiva 0.5% TFA,582,568,10.315,10.581,-0.076,negligible,0.024642694049688732,0.06,0.241676801479826,0.04669142030467338,0.2900121617757912
condition,all,IsoelectricPoint,MagReSyn 10% FA,Cytiva 2% TFA,582,439,10.315,10.385,0.041,negligible,0.2577696718209066,0.152,1.7250442861365377e-05,0.3569118532904861,6.210159430091536e-05
condition,all,IsoelectricPoint,MagReSyn 10% FA,Cytiva 10% FA,582,544,10.315,10.883,-0.1,negligible,0.003538715037554434,0.098,0.008427987175126578,0.007962108834497477,0.01517037691522784
condition,all,IsoelectricPoint,MagReSyn 10% FA,Cytiva 20% FA,582,508,10.315,10.883,-0.125,negligible,0.00034754071594206065,0.134,9.643892565598566e-05,0.001137405979446744,0.000289316776967957
condition,all,IsoelectricPoint,MagReSyn 20% FA,Cytiva 0.5% TFA,477,568,10.486,10.581,-0.022,negligible,0.537022208453277,0.08,0.06874982946099628,0.5858424092217567,0.09166643928132838
condition,all,IsoelectricPoint,MagReSyn 20% FA,Cytiva 2% TFA,477,439,10.486,10.385,0.098,negligible,0.010577564359304403,0.109,0.008199184743475396,0.021155128718608807,0.01517037691522784
condition,all,IsoelectricPoint,MagReSyn 20% FA,Cytiva 10% FA,477,544,10.486,10.883,-0.053,negligible,0.14046914538925664,0.072,0.13420683352664387,0.21070371808388497,0.16660158644686826
condition,all,IsoelectricPoint,MagReSyn 20% FA,Cytiva 20% FA,477,508,10.486,10.883,-0.08,negligible,0.028951449426018308,0.102,0.010687830548466495,0.05211260896683295,0.01715682270067633
